Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
UCS Spirit National Pole Vault Summit,16-17 JAN 2026,2026-01-16,2026-01-17,"Reno Livestock Events Center, Reno, NV (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232166
Stabhochsprung Stars,11 JAN 2026,2026-01-11,2026-01-11,"Raiffeisen athletics-center, Frauenfeld (SUI)",SUI,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232764
Penn Select,10 JAN 2026,2026-01-10,2026-01-10,"Ott Center for Track & Field, Philadelphia, PA (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230849
Fana stavhoppgalla,03 JAN 2026,2026-01-03,2026-01-03,"Fana Arena, Bergen (NOR)",NOR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229930
Sir Graeme Douglas International,08 FEB 2026,2026-02-08,2026-02-08,"Douglas Track & Field, Auckland (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230814
Pak'n Save Cooks International Classic,24 JAN 2026,2026-01-24,2026-01-24,"Cooks Gardens, Whanganui (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230813
Allan & Sylvia Potts Classic,17 JAN 2026,2026-01-17,2026-01-17,"Mitre10 Sports Park, Hastings (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7231313
Burj2Burj Half Marathon,08 FEB 2026,2026-02-08,2026-02-08,Dubai (UAE),UAE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237869
10K Gimnastica de Ulla,08 FEB 2026,2026-02-08,2026-02-08,San Sebastián (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236419
74th Beppu-Oita Mainichi Marathon,01 FEB 2026,2026-02-01,2026-02-01,Oita (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236070
78th Kagawa Marugame International Half Marathon,01 FEB 2026,2026-02-01,2026-02-01,Marugame (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236069
TotalEnergies 10k Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237039
TotalEnergies Media Maratón Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237038
TotalEnergies Maratón Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235994
Dubai Marathon,01 FEB 2026,2026-02-01,2026-02-01,Dubai (UAE),UAE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237510
Meia Maratona de Cascais,01 FEB 2026,2026-02-01,2026-02-01,Cascais (POR),POR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237524
Riyadh Marathon,31 JAN 2026,2026-01-31,2026-01-31,Riyadh (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236536
Riyadh Half Marathon,31 JAN 2026,2026-01-31,2026-01-31,Riyadh (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236749
Medio Maraton Sevilla,25 JAN 2026,2026-01-25,2026-01-25,Sevilla (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235993
Osaka Women's Marathon,25 JAN 2026,2026-01-25,2026-01-25,Osaka (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235936
AXA Raheny 5,25 JAN 2026,2026-01-25,2026-01-25,Dublin (IRL),IRL,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237309
Marrakesh International Marathon,25 JAN 2026,2026-01-25,2026-01-25,Marrakech (MAR),MAR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237507
Buriram Marathon Presented by Chang Mineral,24 JAN 2026,2026-01-24,2026-01-24,Buri Ram (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235987
Semi Marathon International de Djibouti Telecom,23 JAN 2026,2026-01-23,2026-01-23,Djibouti (DJI),DJI,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237294
Tata Mumbai Marathon,18 JAN 2026,2026-01-18,2026-01-18,Mumbai (IND),IND,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235567
Standard Chartered Hong Kong Marathon,18 JAN 2026,2026-01-18,2026-01-18,Hong Kong (HKG),HKG,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235568
34ª Mitja Marató Internacional Vila de Santa Pola,18 JAN 2026,2026-01-18,2026-01-18,Santa Pola (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236718
Chang'an Automobile Chongqing Marathon,18 JAN 2026,2026-01-18,2026-01-18,Chongqing (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235935
Doha Marathon by Ooredoo,16 JAN 2026,2026-01-16,2026-01-16,Doha (QAT),QAT,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235566
Chevron Houston Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235560
C&D Xiamen Marathon,11 JAN 2026,2026-01-11,2026-01-11,Xiamen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235565
Aramco Houston Half Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236794
10K Valencia Ibercaja by Kiprun,11 JAN 2026,2026-01-11,2026-01-11,Valencia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235984
40. OPTIMA Dreikönigslauf in Schwäbisch Hall,06 JAN 2026,2026-01-06,2026-01-06,Schwäbisch Hall (GER),GER,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236068
Tallinn 2026,31 JAN-01 FEB 2026,2026-01-31,2026-02-01,"Tallinna Kergejõustikuhall, Tallinn (EST)",EST,Combined Events,World Athletics Combined Events Tour,https://worldathletics.org/competition/calendar-results/results/7230385
3. International Antalya Race Walking Tour,07 FEB 2026,2026-02-07,2026-02-07,"Konyaaltı Boulvared, Antalya (TUR)",TUR,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7235114
Ecuadorean Race Walking Championships,07 FEB 2026,2026-02-07,2026-02-07,"Zoila Ugarte Park, Machala (ECU)",ECU,Race Walking,"World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7235729
XXXVII Gran Premio de Marcha Atlética Ciudad de Guadix,25 JAN 2026,2026-01-25,2026-01-25,"Avenida de Buenos Aires, Guadix (ESP)",ESP,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7233060
"Australian 10,000m Race Walking Championships",25-26 JAN 2026,2026-01-25,2026-01-26,"AIS Athletics Track, Canberra (AUS)",AUS,"Race Walking, Track and Field","World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7230629
